instance,energy,resouces,congestion,time,num_nodes
1,221.66666666666666,53.0,0.21666666666666667,4.623637766,1
2,273.3333333333333,165.0,0.5333333333333333,0.108400521,1
3,290.8333333333333,210.0,0.7083333333333334,0.020522012,1
4,515.8333333333333,277.0,0.7083333333333334,0.091768236,1
5,525.8333333333333,363.0,0.8083333333333333,2.437283447,3
6,756.6666666666666,496.0,0.9416666666666667,1.373723882,19
7,779.1666666666666,580.0,0.8527131782945736,1.152580046,17
8,989.1666666666666,628.0,0.8527131782945736,3.427842687,49
9,1153.0,805.0,0.925,15.557475876,199
10,1161.5,870.0,0.925,18.427963203,217
11,1171.0,973.0,0.925,38.594248376,363
12,1265.8333333333333,987.0,0.9,61.325939852,557
13,1280.8333333333333,993.0,0.9,64.164169691,499
14,1292.5,1027.0,0.9,65.994147197,463
15,1308.3333333333335,1104.0,0.9,38.977758604,263
16,1322.5,1200.0,0.9333333333333333,38.594656627,219
17,1336.6666666666665,1213.0,0.9833333333333333,42.836968252,245
18,1354.1666666666665,1265.0,0.9302325581395349,34.872104119,179
19,1415.0,1423.0,0.975,16.797242991,75
20,1620.8333333333333,1445.0,0.9833333333333333,211.589997361,919
21,1943.1666666666665,1780.0,1.0,3907.213662783,12034
