instance,energy,resouces,congestion,time,num_nodes
1,249.16666666666666,86.0,0.49166666666666664,6.10657261,1
2,531.6666666666666,262.0,0.625,3.515209085,9
3,570.8333333333334,357.0,0.8833333333333333,1.917824855,20
4,825.0,459.0,0.8833333333333333,23.313697135,133
5,847.5,560.0,0.8833333333333333,5.599776862,43
6,1000.6666666666666,894.0,0.8732394366197183,106.313084332,311
7,1049.3333333333333,972.0,0.852112676056338,84.470512959,251
8,1263.8333333333335,1073.0,0.852112676056338,1383.786240954,2749
9,1291.3333333333335,1172.0,0.9147286821705427,1290.023171239,1822
10,1309.3333333333335,1256.0,0.9147286821705427,2656.939598469,2837
11,1549.6666666666667,1503.0,0.915,1782.436460322,2456
