instance,energy,resouces,congestion,time,num_nodes
1,221.66666666666666,53.0,0.21666666666666667,6.846641117,3
2,475.0,194.0,0.31666666666666665,0.134809501,1
3,492.5,263.0,0.4083333333333333,0.206520358,5
4,917.5,367.0,0.4083333333333333,0.118655831,5
5,1093.9999999999998,454.0,0.4083333333333333,0.430597129,11
6,1339.8333333333333,605.0,0.4083333333333333,0.972480641,15
7,1364.0,652.0,0.5142857142857143,0.924518527,17
8,1747.8333333333335,813.0,0.5142857142857143,1.536343737,16
9,1588.1666666666667,851.0,0.5555555555555556,0.902275909,8
10,1599.3333333333333,884.0,0.5555555555555556,0.800054016,6
11,1837.8333333333335,921.0,0.6642857142857143,2.73566501,23
12,2027.6666666666667,1100.0,0.6642857142857143,2.073194503,11
13,1862.5000000000002,1114.0,0.6642857142857143,2.305184561,13
14,1632.1666666666667,1203.0,0.7884615384615384,2.716475674,18
15,1837.1666666666667,1387.0,0.7884615384615384,0.998377302,7
16,1844.3333333333335,1390.0,0.7884615384615384,2.234063216,13
17,1677.0000000000002,1462.0,0.7884615384615384,1.292946742,3
18,1707.8333333333333,1415.0,0.7884615384615384,2.00799977,8
19,2161.666666666667,1550.0,0.7884615384615384,2.347590014,8
20,1927.8333333333335,1741.0,0.7884615384615384,7.595752826,29
21,1985.5000000000002,1645.0,0.868217054263566,2.187051972,7
22,1998.0,1809.0,1.0,7.541011358,30
