instance,energy,resouces,congestion,time,num_nodes
1,620.5,169.0,0.20930232558139536,15.702301577,29
2,880.0,396.0,0.36633663366336633,5.424730501,29
3,1300.6666666666667,460.0,0.39166666666666666,102.625652765,198
4,1571.3333333333335,562.0,0.5416666666666666,11.780172672,23
5,1822.0,857.0,0.5,245.837481164,292
6,1848.3333333333335,989.0,0.55,3602.929510363,3166
7,1948.6666666666667,1139.0,0.5725,3600.081072308,4118
8,2131.666666666667,1155.0,0.5625,3600.44024363,4009
9,2171.5,1227.0,0.5555555555555556,422.659360441,651
10,2194.0,1330.0,0.5555555555555556,395.783157235,563
11,2233.333333333333,1394.0,0.6642857142857143,656.766839798,526
