instance,energy,resources,congestion,time,num_nodes
1,404.4375,142.0,0.17177914110429449,6.465193371,1
2,674.8221153846154,248.0,0.35833333333333334,1.345404808,1
3,901.8533653846154,310.0,0.35833333333333334,1.855436069,1
4,1144.9783653846155,379.0,0.35833333333333334,5.887443544,1
5,1368.8846153846155,430.0,0.35833333333333334,7.388166686,1
6,1416.0528846153848,530.0,0.35833333333333334,9.773862244,1
7,1471.6084401709402,651.0,0.675,23.015948509,1
8,1711.7959401709402,742.0,0.9833333333333333,25.537267184,1
9,2078.474511599512,872.0,0.9833333333333333,43.251490076,5
10,1676.2819749694752,925.0,0.9833333333333333,38.540734453,5
